Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,game_id
IND,2021-11-04,28,Thu,9,9,,NYJ,W 45-30,28,9,17,2,10,5,50.0,2,1,50.0,IND_NYJ_2021-11-04
TAM,2021-10-24,28,Sun,7,7,,CHI,W 38-3,28,12,13,3,12,4,33.3,2,1,50.0,TAM_CHI_2021-10-24
BUF,2021-10-18,28,Mon,6,6,@,TEN,L 31-34,28,3,22,3,13,7,53.8,1,0,0.0,BUF_TEN_2021-10-18
ATL,2021-10-10,28,Sun,5,5,,NYJ,W 27-20,28,5,19,4,14,9,64.3,1,1,100.0,ATL_NYJ_2021-10-10
MIN,2021-09-26,28,Sun,3,3,,SEA,W 30-17,28,7,20,1,14,9,64.3,0,0,,MIN_SEA_2021-09-26
LVR,2021-09-26,28,Sun,3,3,,MIA,W 31-28 (OT),28,7,18,3,15,8,53.3,1,0,0.0,LVR_MIA_2021-09-26
CAR,2021-09-23,28,Thu,3,3,@,HOU,W 24-9,28,10,15,3,11,5,45.5,1,0,0.0,CAR_HOU_2021-09-23
CAR,2021-09-19,28,Sun,2,2,,NOR,W 26-7,28,4,18,6,15,8,53.3,0,0,,CAR_NOR_2021-09-19
TAM,2021-01-03,28,Sun,16,17,,ATL,W 44-27,28,5,20,3,11,6,54.5,0,0,,TAM_ATL_2021-01-03
TEN,2021-01-03,28,Sun,16,17,@,HOU,W 41-38,28,17,10,1,10,7,70.0,1,0,0.0,TEN_HOU_2021-01-03
CHI,2020-12-27,28,Sun,15,16,@,JAX,W 41-17,28,8,18,2,12,6,50.0,2,2,100.0,CHI_JAX_2020-12-27
TEN,2020-12-20,28,Sun,14,15,,DET,W 46-25,28,10,17,1,11,9,81.8,0,0,,TEN_DET_2020-12-20
SFO,2020-12-20,28,Sun,14,15,@,DAL,L 33-41,28,9,15,4,15,6,40.0,1,1,100.0,SFO_DAL_2020-12-20
SEA,2020-12-13,28,Sun,13,14,,NYJ,W 40-3,28,7,18,3,11,6,54.5,0,0,,SEA_NYJ_2020-12-13
GNB,2020-11-29,28,Sun,11,12,,CHI,W 41-25,28,14,13,1,11,6,54.5,3,3,100.0,GNB_CHI_2020-11-29
TEN,2020-11-29,28,Sun,11,12,@,IND,W 45-26,28,16,9,3,12,5,41.7,1,1,100.0,TEN_IND_2020-11-29
DET,2020-11-26,28,Thu,11,12,,HOU,L 25-41,28,8,17,3,13,6,46.2,3,1,33.3,DET_HOU_2020-11-26
LAC,2020-11-22,28,Sun,10,11,,NYJ,W 34-28,28,5,18,5,15,9,60.0,1,0,0.0,LAC_NYJ_2020-11-22
LAC,2020-11-01,28,Sun,7,8,@,DEN,L 30-31,28,10,15,3,16,7,43.8,1,0,0.0,LAC_DEN_2020-11-01
ATL,2020-10-29,28,Thu,8,8,@,CAR,W 25-17,28,10,14,4,9,3,33.3,0,0,,ATL_CAR_2020-10-29
DAL,2020-10-11,28,Sun,5,5,,NYG,W 37-34,28,9,15,4,9,5,55.6,0,0,,DAL_NYG_2020-10-11
ARI,2020-10-11,28,Sun,5,5,@,NYJ,W 30-10,28,9,17,2,12,5,41.7,1,1,100.0,ARI_NYJ_2020-10-11
CIN,2020-10-04,28,Sun,4,4,,JAX,W 33-25,28,12,15,1,11,4,36.4,1,1,100.0,CIN_JAX_2020-10-04
TAM,2020-10-04,28,Sun,4,4,,LAC,W 38-31,28,6,20,2,11,5,45.5,0,0,,TAM_LAC_2020-10-04
LAR,2020-09-27,28,Sun,3,3,@,BUF,L 32-35,28,13,15,0,10,6,60.0,1,0,0.0,LAR_BUF_2020-09-27
ARI,2020-09-27,28,Sun,3,3,,DET,L 23-26,28,10,16,2,10,4,40.0,1,1,100.0,ARI_DET_2020-09-27
LVR,2020-09-21,28,Mon,2,2,,NOR,W 34-24,28,5,18,5,17,10,58.8,2,2,100.0,LVR_NOR_2020-09-21
MIA,2020-09-20,28,Sun,2,2,,BUF,L 28-31,28,6,20,2,12,5,41.7,1,0,0.0,MIA_BUF_2020-09-20
