Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,game_id
IND,2020-11-01,326,Sun,7,8,@,DET,W 41-21,326,2,IND_DET_2020-11-01
JAX,2019-10-13,326,Sun,6,6,,NOR,L 6-13,326,0,JAX_NOR_2019-10-13
CIN,2019-09-30,326,Mon,4,4,@,PIT,L 3-27,326,1,CIN_PIT_2019-09-30
NWE,2017-12-24,326,Sun,15,16,,BUF,W 37-16,326,0,NWE_BUF_2017-12-24
TAM,2022-12-25,325,Sun,15,16,@,ARI,W 19-16 (OT),325,3,TAM_ARI_2022-12-25
CAR,2022-12-18,325,Sun,14,15,,PIT,L 16-24,325,0,CAR_PIT_2022-12-18
CLE,2022-11-27,325,Sun,11,12,,TAM,W 23-17 (OT),325,0,CLE_TAM_2022-11-27
NYG,2022-11-20,325,Sun,10,11,,DET,L 18-31,325,0,NYG_DET_2022-11-20
CIN,2022-10-09,325,Sun,5,5,@,BAL,L 17-19,325,1,CIN_BAL_2022-10-09
NYG,2022-01-09,325,Sun,17,18,,WAS,L 7-22,325,0,NYG_WAS_2022-01-09
CIN,2020-11-22,325,Sun,10,11,@,WAS,L 9-20,325,1,CIN_WAS_2020-11-22
PHI,2020-10-22,325,Thu,7,7,,NYG,W 22-21,325,3,PHI_NYG_2020-10-22
SFO,2018-12-23,325,Sun,15,16,,CHI,L 9-14,325,2,SFO_CHI_2018-12-23
ARI,2018-12-02,325,Sun,12,13,@,GNB,W 20-17,325,0,ARI_GNB_2018-12-02
ARI,2018-11-18,325,Sun,10,11,,OAK,L 21-23,325,0,ARI_OAK_2018-11-18
LAC,2018-11-18,325,Sun,10,11,,DEN,L 22-23,325,0,LAC_DEN_2018-11-18
CAR,2018-10-28,325,Sun,7,8,,BAL,W 36-21,325,3,CAR_BAL_2018-10-28
NWE,2018-09-09,325,Sun,1,1,,HOU,W 27-20,325,2,NWE_HOU_2018-09-09
ARI,2022-12-18,324,Sun,14,15,@,DEN,L 15-24,324,2,ARI_DEN_2022-12-18
CLE,2022-12-17,324,Sat,14,15,,BAL,W 13-3,324,2,CLE_BAL_2022-12-17
WAS,2022-10-30,324,Sun,8,8,@,IND,W 17-16,324,2,WAS_IND_2022-10-30
NYJ,2022-10-23,324,Sun,7,7,@,DEN,W 16-9,324,1,NYJ_DEN_2022-10-23
ARI,2022-09-18,324,Sun,2,2,@,LVR,W 29-23 (OT),324,1,ARI_LVR_2022-09-18
NYG,2021-12-26,324,Sun,15,16,@,PHI,L 10-34,324,0,NYG_PHI_2021-12-26
SFO,2021-10-31,324,Sun,7,8,@,CHI,W 33-22,324,1,SFO_CHI_2021-10-31
PHI,2020-11-22,324,Sun,10,11,@,CLE,L 17-22,324,1,PHI_CLE_2020-11-22
PIT,2020-11-15,324,Sun,9,10,,CIN,W 36-10,324,2,PIT_CIN_2020-11-15
GNB,2020-11-01,324,Sun,7,8,,MIN,L 22-28,324,0,GNB_MIN_2020-11-01
GNB,2020-10-18,324,Sun,5,6,@,TAM,L 10-38,324,0,GNB_TAM_2020-10-18
TAM,2020-10-04,324,Sun,4,4,,LAC,W 38-31,324,2,TAM_LAC_2020-10-04
CAR,2019-12-22,324,Sun,15,16,@,IND,L 6-38,324,0,CAR_IND_2019-12-22
IND,2019-10-06,324,Sun,5,5,@,KAN,W 19-13,324,1,IND_KAN_2019-10-06
PIT,2018-10-07,324,Sun,5,5,,ATL,W 41-17,324,1,PIT_ATL_2018-10-07
JAX,2018-09-09,324,Sun,1,1,@,NYG,W 20-15,324,2,JAX_NYG_2018-09-09
ATL,2017-09-24,324,Sun,3,3,@,DET,W 30-26,324,0,ATL_DET_2017-09-24
GNB,2023-01-08,323,Sun,17,18,,DET,L 16-20,323,0,GNB_DET_2023-01-08
LAR,2022-12-25,323,Sun,15,16,,DEN,W 51-14,323,4,LAR_DEN_2022-12-25
NWE,2022-12-12,323,Mon,13,14,@,ARI,W 27-13,323,2,NWE_ARI_2022-12-12
IND,2022-11-28,323,Mon,12,12,,PIT,L 17-24,323,0,IND_PIT_2022-11-28
LAR,2022-11-20,323,Sun,10,11,@,NOR,L 20-27,323,0,LAR_NOR_2022-11-20
CHI,2022-11-13,323,Sun,10,10,,DET,L 30-31,323,0,CHI_DET_2022-11-13
LAR,2022-11-06,323,Sun,8,9,@,TAM,L 13-16,323,0,LAR_TAM_2022-11-06
DAL,2022-10-09,323,Sun,5,5,@,LAR,W 22-10,323,3,DAL_LAR_2022-10-09
WAS,2021-12-12,323,Sun,13,14,,DAL,L 20-27,323,2,WAS_DAL_2021-12-12
SFO,2021-11-28,323,Sun,11,12,,MIN,W 34-26,323,2,SFO_MIN_2021-11-28
PHI,2021-11-21,323,Sun,11,11,,NOR,W 40-29,323,3,PHI_NOR_2021-11-21
LAR,2021-10-31,323,Sun,8,8,@,HOU,W 38-22,323,1,LAR_HOU_2021-10-31
CHI,2021-10-17,323,Sun,6,6,,GNB,L 14-24,323,0,CHI_GNB_2021-10-17
DET,2021-09-20,323,Mon,2,2,@,GNB,L 17-35,323,0,DET_GNB_2021-09-20
NWE,2020-10-05,323,Mon,4,4,@,KAN,L 10-26,323,1,NWE_KAN_2020-10-05
TEN,2020-09-14,323,Mon,1,1,@,DEN,W 16-14,323,1,TEN_DEN_2020-09-14
CLE,2019-12-01,323,Sun,12,13,@,PIT,L 13-20,323,1,CLE_PIT_2019-12-01
NYJ,2019-10-21,323,Mon,6,7,,NWE,L 0-33,323,1,NYJ_NWE_2019-10-21
CHI,2018-12-16,323,Sun,14,15,,GNB,W 24-17,323,1,CHI_GNB_2018-12-16
JAX,2018-11-18,323,Sun,10,11,,PIT,L 16-20,323,3,JAX_PIT_2018-11-18
ATL,2018-11-18,323,Sun,10,11,,DAL,L 19-22,323,0,ATL_DAL_2018-11-18
WAS,2018-10-21,323,Sun,6,7,,DAL,W 20-17,323,2,WAS_DAL_2018-10-21
NYJ,2018-09-20,323,Thu,3,3,@,CLE,L 17-21,323,0,NYJ_CLE_2018-09-20
TAM,2017-12-31,323,Sun,16,17,,NOR,W 31-24,323,1,TAM_NOR_2017-12-31
IND,2017-12-23,323,Sat,15,16,@,BAL,L 16-23,323,0,IND_BAL_2017-12-23
NYG,2017-11-23,323,Thu,11,12,@,WAS,L 10-20,323,1,NYG_WAS_2017-11-23
GNB,2017-11-12,323,Sun,9,10,@,CHI,W 23-16,323,1,GNB_CHI_2017-11-12
DAL,2017-11-05,323,Sun,8,9,,KAN,W 28-17,323,1,DAL_KAN_2017-11-05
SFO,2022-12-11,322,Sun,13,14,,TAM,W 35-7,322,3,SFO_TAM_2022-12-11
CAR,2022-10-23,322,Sun,7,7,,TAM,W 21-3,322,0,CAR_TAM_2022-10-23
MIA,2022-10-09,322,Sun,5,5,@,NYJ,L 17-40,322,0,MIA_NYJ_2022-10-09
LAR,2021-09-12,322,Sun,1,1,,CHI,W 34-14,322,2,LAR_CHI_2021-09-12
GNB,2021-09-12,322,Sun,1,1,@,NOR,L 3-38,322,0,GNB_NOR_2021-09-12
NWE,2020-11-09,322,Mon,8,9,@,NYJ,W 30-27,322,1,NWE_NYJ_2020-11-09
ARI,2020-09-27,322,Sun,3,3,,DET,L 23-26,322,0,ARI_DET_2020-09-27
NYG,2019-12-01,322,Sun,12,13,,GNB,L 13-31,322,0,NYG_GNB_2019-12-01
ATL,2019-10-27,322,Sun,8,8,,SEA,L 20-27,322,0,ATL_SEA_2019-10-27
DET,2018-10-21,322,Sun,6,7,@,MIA,W 32-21,322,0,DET_MIA_2018-10-21
JAX,2017-11-12,322,Sun,9,10,,LAC,W 20-17 (OT),322,2,JAX_LAC_2017-11-12
JAX,2022-11-06,321,Sun,9,9,,LVR,W 27-20,321,1,JAX_LVR_2022-11-06
BAL,2021-12-05,321,Sun,12,13,@,PIT,L 19-20,321,0,BAL_PIT_2021-12-05
DEN,2020-10-01,321,Thu,4,4,@,NYJ,W 37-28,321,0,DEN_NYJ_2020-10-01
NWE,2019-11-24,321,Sun,11,12,,DAL,W 13-9,321,1,NWE_DAL_2019-11-24
DEN,2019-11-17,321,Sun,10,11,@,MIN,L 23-27,321,2,DEN_MIN_2019-11-17
MIA,2019-11-03,321,Sun,8,9,,NYJ,W 26-18,321,1,MIA_NYJ_2019-11-03
SEA,2019-09-29,321,Sun,4,4,@,ARI,W 27-10,321,1,SEA_ARI_2019-09-29
KAN,2018-12-09,321,Sun,13,14,,BAL,W 27-24 (OT),321,1,KAN_BAL_2018-12-09
SFO,2018-10-28,321,Sun,8,8,@,ARI,L 15-18,321,2,SFO_ARI_2018-10-28
MIA,2017-11-19,321,Sun,10,11,,TAM,L 20-30,321,0,MIA_TAM_2017-11-19
LAC,2017-09-11,321,Mon,1,1,@,DEN,L 21-24,321,2,LAC_DEN_2017-09-11
NOR,2022-12-18,320,Sun,14,15,,ATL,W 21-18,320,1,NOR_ATL_2022-12-18
KAN,2022-12-11,320,Sun,13,14,@,DEN,W 34-28,320,2,KAN_DEN_2022-12-11
LVR,2022-11-20,320,Sun,10,11,@,DEN,W 22-16 (OT),320,0,LVR_DEN_2022-11-20
LAC,2022-09-11,320,Sun,1,1,,LVR,W 24-19,320,3,LAC_LVR_2022-09-11
TAM,2021-11-14,320,Sun,9,10,@,WAS,L 19-29,320,1,TAM_WAS_2021-11-14
NOR,2021-01-03,320,Sun,16,17,@,CAR,W 33-7,320,5,NOR_CAR_2021-01-03
LAC,2020-11-08,320,Sun,8,9,,LVR,L 26-31,320,1,LAC_LVR_2020-11-08
WAS,2018-11-18,320,Sun,10,11,,HOU,L 21-23,320,3,WAS_HOU_2018-11-18
SEA,2022-12-04,319,Sun,12,13,@,LAR,W 27-23,319,2,SEA_LAR_2022-12-04
NOR,2022-11-07,319,Mon,9,9,,BAL,L 13-27,319,0,NOR_BAL_2022-11-07
LAC,2022-09-15,319,Thu,2,2,@,KAN,L 24-27,319,0,LAC_KAN_2022-09-15
LAC,2022-01-02,319,Sun,16,17,,DEN,W 34-13,319,1,LAC_DEN_2022-01-02
LAC,2020-12-13,319,Sun,13,14,,ATL,W 20-17,319,3,LAC_ATL_2020-12-13
PIT,2020-09-20,319,Sun,2,2,,DEN,W 26-21,319,2,PIT_DEN_2020-09-20
IND,2017-12-10,319,Sun,13,14,@,BUF,L 7-13 (OT),319,2,IND_BUF_2017-12-10
LAR,2017-11-05,319,Sun,8,9,@,NYG,W 51-17,319,3,LAR_NYG_2017-11-05
LVR,2022-12-18,318,Sun,14,15,,NWE,W 30-24,318,1,LVR_NWE_2022-12-18
IND,2022-01-09,318,Sun,17,18,@,JAX,L 11-26,318,0,IND_JAX_2022-01-09
PIT,2021-12-19,318,Sun,14,15,,TEN,W 19-13,318,4,PIT_TEN_2021-12-19
CAR,2021-12-12,318,Sun,13,14,,ATL,L 21-29,318,1,CAR_ATL_2021-12-12
BAL,2021-11-07,318,Sun,8,9,,MIN,W 34-31 (OT),318,0,BAL_MIN_2021-11-07
NYJ,2021-10-31,318,Sun,7,8,,CIN,W 34-31,318,1,NYJ_CIN_2021-10-31
NWE,2020-12-10,318,Thu,13,14,@,LAR,L 3-24,318,1,NWE_LAR_2020-12-10
PIT,2020-12-07,318,Mon,12,13,,WAS,L 17-23,318,0,PIT_WAS_2020-12-07
MIA,2020-09-24,318,Thu,3,3,@,JAX,W 31-13,318,2,MIA_JAX_2020-09-24
CLE,2019-10-27,318,Sun,7,8,@,NWE,L 13-27,318,0,CLE_NWE_2019-10-27
DEN,2019-10-27,318,Sun,8,8,@,IND,L 13-15,318,1,DEN_IND_2019-10-27
HOU,2018-12-15,318,Sat,14,15,@,NYJ,W 29-22,318,1,HOU_NYJ_2018-12-15
SFO,2017-11-26,318,Sun,11,12,,SEA,L 13-24,318,1,SFO_SEA_2017-11-26
DAL,2022-12-29,317,Thu,16,17,@,TEN,W 27-13,317,2,DAL_TEN_2022-12-29
NOR,2022-11-27,317,Sun,12,12,@,SFO,L 0-13,317,0,NOR_SFO_2022-11-27
NYJ,2022-11-06,317,Sun,9,9,,BUF,W 20-17,317,2,NYJ_BUF_2022-11-06
TAM,2022-01-09,317,Sun,17,18,,CAR,W 41-17,317,2,TAM_CAR_2022-01-09
SEA,2021-12-26,317,Sun,15,16,,CHI,L 24-25,317,0,SEA_CHI_2021-12-26
NOR,2019-11-10,317,Sun,9,10,,ATL,L 9-26,317,1,NOR_ATL_2019-11-10
LAC,2018-11-11,317,Sun,9,10,@,OAK,W 20-6,317,1,LAC_OAK_2018-11-11
LAC,2018-10-14,317,Sun,6,6,@,CLE,W 38-14,317,2,LAC_CLE_2018-10-14
KAN,2017-11-19,317,Sun,10,11,@,NYG,L 9-12 (OT),317,1,KAN_NYG_2017-11-19
WAS,2022-12-04,316,Sun,13,13,@,NYG,T 20-20 (OT),316,1,WAS_NYG_2022-12-04
DEN,2021-12-12,316,Sun,13,14,,DET,W 38-10,316,2,DEN_DET_2021-12-12
LAC,2021-12-12,316,Sun,13,14,,NYG,W 37-21,316,2,LAC_NYG_2021-12-12
CHI,2021-01-03,316,Sun,16,17,,GNB,L 16-35,316,1,CHI_GNB_2021-01-03
DEN,2020-12-27,316,Sun,15,16,@,LAC,L 16-19,316,0,DEN_LAC_2020-12-27
ARI,2020-09-20,316,Sun,2,2,,WAS,W 30-15,316,2,ARI_WAS_2020-09-20
NYJ,2019-11-03,316,Sun,8,9,@,MIA,L 18-26,316,0,NYJ_MIA_2019-11-03
SFO,2019-09-15,316,Sun,2,2,@,CIN,W 41-17,316,1,SFO_CIN_2019-09-15
NYJ,2018-10-21,316,Sun,7,7,,MIN,L 17-37,316,0,NYJ_MIN_2018-10-21
ARI,2018-09-23,316,Sun,3,3,,CHI,L 14-16,316,2,ARI_CHI_2018-09-23
PIT,2017-11-16,316,Thu,10,11,,TEN,W 40-17,316,4,PIT_TEN_2017-11-16
IND,2017-11-12,316,Sun,10,10,,PIT,L 17-20,316,1,IND_PIT_2017-11-12
MIN,2023-01-01,315,Sun,16,17,@,GNB,L 17-41,315,0,MIN_GNB_2023-01-01
KAN,2022-11-13,315,Sun,9,10,,JAX,W 27-17,315,0,KAN_JAX_2022-11-13
LAC,2022-11-06,315,Sun,8,9,@,ATL,W 20-17,315,2,LAC_ATL_2022-11-06
SEA,2022-10-16,315,Sun,6,6,,ARI,W 19-9,315,2,SEA_ARI_2022-10-16
PHI,2022-10-16,315,Sun,6,6,,DAL,W 26-17,315,3,PHI_DAL_2022-10-16
TAM,2022-09-25,315,Sun,3,3,,GNB,L 12-14,315,2,TAM_GNB_2022-09-25
IND,2022-09-25,315,Sun,3,3,,KAN,W 20-17,315,2,IND_KAN_2022-09-25
DAL,2022-01-08,315,Sat,17,18,@,PHI,W 51-26,315,1,DAL_PHI_2022-01-08
CAR,2021-11-28,315,Sun,12,12,@,MIA,L 10-33,315,1,CAR_MIA_2021-11-28
CLE,2020-11-22,315,Sun,10,11,,PHI,W 22-17,315,3,CLE_PHI_2020-11-22
NWE,2019-12-15,315,Sun,14,15,@,CIN,W 34-13,315,5,NWE_CIN_2019-12-15
JAX,2019-12-01,315,Sun,12,13,,TAM,L 11-28,315,1,JAX_TAM_2019-12-01
OAK,2019-11-07,315,Thu,9,10,,LAC,W 26-24,315,3,OAK_LAC_2019-11-07
IND,2018-12-09,315,Sun,13,14,@,HOU,W 24-21,315,0,IND_HOU_2018-12-09
CAR,2018-12-02,315,Sun,12,13,@,TAM,L 17-24,315,1,CAR_TAM_2018-12-02
CAR,2018-12-02,315,Sun,12,13,@,TAM,L 17-24,315,1,CAR_TAM_2018-12-02
ATL,2017-12-24,315,Sun,15,16,@,NOR,L 13-23,315,1,ATL_NOR_2017-12-24
IND,2022-12-26,314,Mon,15,16,,LAC,L 3-20,314,2,IND_LAC_2022-12-26
ATL,2022-11-27,314,Sun,12,12,@,WAS,L 13-19,314,1,ATL_WAS_2022-11-27
SFO,2022-11-21,314,Mon,10,11,@,ARI,W 38-10,314,2,SFO_ARI_2022-11-21
IND,2022-11-20,314,Sun,11,11,,PHI,L 16-17,314,2,IND_PHI_2022-11-20
BAL,2022-01-09,314,Sun,17,18,,PIT,L 13-16 (OT),314,1,BAL_PIT_2022-01-09
MIA,2021-09-19,314,Sun,2,2,,BUF,L 0-35,314,2,MIA_BUF_2021-09-19
DEN,2021-09-12,314,Sun,1,1,@,NYG,W 27-13,314,1,DEN_NYG_2021-09-12
SEA,2020-11-19,314,Thu,10,11,,ARI,W 28-21,314,0,SEA_ARI_2020-11-19
MIN,2020-10-11,314,Sun,5,5,@,SEA,L 26-27,314,1,MIN_SEA_2020-10-11
IND,2018-11-25,314,Sun,11,12,,MIA,W 27-24,314,1,IND_MIA_2018-11-25
PHI,2023-01-01,313,Sun,16,17,,NOR,L 10-20,313,1,PHI_NOR_2023-01-01
NOR,2023-01-01,313,Sun,16,17,@,PHI,W 20-10,313,1,NOR_PHI_2023-01-01
TEN,2022-11-13,313,Sun,9,10,,DEN,W 17-10,313,1,TEN_DEN_2022-11-13
LVR,2020-11-15,313,Sun,9,10,,DEN,W 37-12,313,5,LVR_DEN_2020-11-15
CIN,2019-12-29,313,Sun,16,17,,CLE,W 33-23,313,3,CIN_CLE_2019-12-29
ATL,2019-12-15,313,Sun,14,15,@,SFO,W 29-22,313,2,ATL_SFO_2019-12-15
TEN,2019-10-06,313,Sun,5,5,,BUF,L 7-14,313,1,TEN_BUF_2019-10-06
BUF,2018-12-16,313,Sun,14,15,,DET,W 14-13,313,0,BUF_DET_2018-12-16
DEN,2018-12-02,313,Sun,12,13,@,CIN,W 24-10,313,3,DEN_CIN_2018-12-02
CAR,2017-11-13,313,Mon,10,10,,MIA,W 45-21,313,1,CAR_MIA_2017-11-13
PIT,2017-10-08,313,Sun,5,5,,JAX,L 9-30,313,1,PIT_JAX_2017-10-08
JAX,2023-01-07,312,Sat,17,18,,TEN,W 20-16,312,2,JAX_TEN_2023-01-07
DAL,2022-10-23,312,Sun,7,7,,DET,W 24-6,312,5,DAL_DET_2022-10-23
NWE,2022-10-09,312,Sun,5,5,,DET,W 29-0,312,2,NWE_DET_2022-10-09
JAX,2022-09-25,312,Sun,3,3,@,LAC,W 38-10,312,2,JAX_LAC_2022-09-25
PHI,2022-01-02,312,Sun,16,17,@,WAS,W 20-16,312,1,PHI_WAS_2022-01-02
CAR,2021-12-19,312,Sun,14,15,@,BUF,L 14-31,312,1,CAR_BUF_2021-12-19
ARI,2020-11-08,312,Sun,8,9,,MIA,L 31-34,312,0,ARI_MIA_2020-11-08
DAL,2019-11-17,312,Sun,10,11,@,DET,W 35-27,312,0,DAL_DET_2019-11-17
DEN,2019-09-22,312,Sun,3,3,@,GNB,L 16-27,312,0,DEN_GNB_2019-09-22
DET,2018-12-16,312,Sun,14,15,@,BUF,L 13-14,312,0,DET_BUF_2018-12-16
ATL,2018-11-22,312,Thu,11,12,@,NOR,L 17-31,312,1,ATL_NOR_2018-11-22
MIA,2017-12-31,312,Sun,16,17,,BUF,L 16-22,312,0,MIA_BUF_2017-12-31
CIN,2017-12-31,312,Sun,16,17,@,BAL,W 31-27,312,1,CIN_BAL_2017-12-31
ATL,2017-12-03,312,Sun,12,13,,MIN,L 9-14,312,0,ATL_MIN_2017-12-03
SFO,2017-09-17,312,Sun,2,2,@,SEA,L 9-12,312,0,SFO_SEA_2017-09-17
ARI,2023-01-08,311,Sun,17,18,@,SFO,L 13-38,311,0,ARI_SFO_2023-01-08
ARI,2022-11-27,311,Sun,12,12,,LAC,L 24-25,311,0,ARI_LAC_2022-11-27
CLE,2021-12-25,311,Sat,15,16,@,GNB,L 22-24,311,0,CLE_GNB_2021-12-25
IND,2021-11-21,311,Sun,11,11,@,BUF,W 41-15,311,4,IND_BUF_2021-11-21
TAM,2021-10-24,311,Sun,7,7,,CHI,W 38-3,311,5,TAM_CHI_2021-10-24
SFO,2020-10-18,311,Sun,6,6,,LAR,W 24-16,311,1,SFO_LAR_2020-10-18
PHI,2019-12-22,311,Sun,15,16,,DAL,W 17-9,311,1,PHI_DAL_2019-12-22
MIA,2019-10-13,311,Sun,5,6,,WAS,L 16-17,311,0,MIA_WAS_2019-10-13
CHI,2018-09-30,311,Sun,4,4,,TAM,W 48-10,311,3,CHI_TAM_2018-09-30
SFO,2017-12-10,311,Sun,13,14,@,HOU,W 26-16,311,1,SFO_HOU_2017-12-10
DET,2017-11-06,311,Mon,8,9,@,GNB,W 30-17,311,0,DET_GNB_2017-11-06
NYJ,2017-10-01,311,Sun,4,4,,JAX,W 23-20 (OT),311,1,NYJ_JAX_2017-10-01
LAC,2017-09-24,311,Sun,3,3,,KAN,L 10-24,311,0,LAC_KAN_2017-09-24
CHI,2017-09-17,311,Sun,2,2,@,TAM,L 7-29,311,1,CHI_TAM_2017-09-17
BUF,2022-11-06,310,Sun,8,9,@,NYJ,L 17-20,310,1,BUF_NYJ_2022-11-06
WAS,2021-12-05,310,Sun,12,13,@,LVR,W 17-15,310,0,WAS_LVR_2021-12-05
NOR,2020-09-13,310,Sun,1,1,,TAM,W 34-23,310,3,NOR_TAM_2020-09-13
BAL,2019-12-12,310,Thu,14,15,,NYJ,W 42-21,310,2,BAL_NYJ_2019-12-12
LAC,2019-11-18,310,Mon,11,11,,KAN,L 17-24,310,1,LAC_KAN_2019-11-18
ATL,2019-11-10,310,Sun,9,10,@,NOR,W 26-9,310,0,ATL_NOR_2019-11-10
NWE,2019-10-27,310,Sun,8,8,,CLE,W 27-13,310,3,NWE_CLE_2019-10-27
GNB,2019-09-22,310,Sun,3,3,,DEN,W 27-16,310,3,GNB_DEN_2019-09-22
LAR,2018-12-02,310,Sun,12,13,@,DET,W 30-16,310,2,LAR_DET_2018-12-02
PHI,2017-12-03,310,Sun,12,13,@,SEA,L 10-24,310,0,PHI_SEA_2017-12-03
CAR,2017-10-12,310,Thu,6,6,,PHI,L 23-28,310,1,CAR_PHI_2017-10-12
TAM,2017-09-17,310,Sun,1,2,,CHI,W 29-7,310,4,TAM_CHI_2017-09-17
TEN,2017-09-17,310,Sun,2,2,@,JAX,W 37-16,310,3,TEN_JAX_2017-09-17
DAL,2023-01-08,309,Sun,17,18,@,WAS,L 6-26,309,1,DAL_WAS_2023-01-08
BUF,2022-12-11,309,Sun,13,14,,NYJ,W 20-12,309,2,BUF_NYJ_2022-12-11
PIT,2022-12-11,309,Sun,13,14,,BAL,L 14-16,309,0,PIT_BAL_2022-12-11
DAL,2022-12-04,309,Sun,12,13,,IND,W 54-19,309,5,DAL_IND_2022-12-04
IND,2022-11-13,309,Sun,10,10,@,LVR,W 25-20,309,0,IND_LVR_2022-11-13
SEA,2021-10-31,309,Sun,8,8,,JAX,W 31-7,309,1,SEA_JAX_2021-10-31
PIT,2021-10-17,309,Sun,6,6,,SEA,W 23-20 (OT),309,1,PIT_SEA_2021-10-17
DAL,2020-12-13,309,Sun,13,14,@,CIN,W 30-7,309,3,DAL_CIN_2020-12-13
CLE,2020-11-01,309,Sun,8,8,,LVR,L 6-16,309,0,CLE_LVR_2020-11-01
CLE,2020-09-27,309,Sun,3,3,,WAS,W 34-20,309,5,CLE_WAS_2020-09-27
NYJ,2019-12-29,309,Sun,16,17,@,BUF,W 13-6,309,3,NYJ_BUF_2019-12-29
TAM,2019-12-08,309,Sun,13,14,,IND,W 38-35,309,1,TAM_IND_2019-12-08
HOU,2019-10-13,309,Sun,6,6,@,KAN,W 31-24,309,2,HOU_KAN_2019-10-13
DEN,2018-12-15,309,Sat,14,15,,CLE,L 16-17,309,2,DEN_CLE_2018-12-15
CAR,2018-11-18,309,Sun,10,11,@,DET,L 19-20,309,0,CAR_DET_2018-11-18
ARI,2018-10-18,309,Thu,7,7,,DEN,L 10-45,309,1,ARI_DEN_2018-10-18
NWE,2022-12-18,308,Sun,14,15,@,LVR,L 24-30,308,1,NWE_LVR_2022-12-18
SFO,2022-12-04,308,Sun,12,13,,MIA,W 33-17,308,4,SFO_MIA_2022-12-04
CAR,2022-11-20,308,Sun,11,11,@,BAL,L 3-13,308,1,CAR_BAL_2022-11-20
SFO,2022-10-09,308,Sun,5,5,@,CAR,W 37-15,308,1,SFO_CAR_2022-10-09
CLE,2022-09-22,308,Thu,3,3,,PIT,W 29-17,308,1,CLE_PIT_2022-09-22
TAM,2022-09-18,308,Sun,2,2,@,NOR,W 20-10,308,5,TAM_NOR_2022-09-18
MIA,2022-01-02,308,Sun,16,17,@,TEN,L 3-34,308,0,MIA_TEN_2022-01-02
ATL,2021-11-18,308,Thu,10,11,,NWE,L 0-25,308,1,ATL_NWE_2021-11-18
PHI,2021-11-14,308,Sun,10,10,@,DEN,W 30-13,308,1,PHI_DEN_2021-11-14
SFO,2020-11-29,308,Sun,11,12,@,LAR,W 23-20,308,4,SFO_LAR_2020-11-29
BAL,2020-11-15,308,Sun,9,10,@,NWE,L 17-23,308,0,BAL_NWE_2020-11-15
CLE,2020-10-11,308,Sun,5,5,,IND,W 32-23,308,2,CLE_IND_2020-10-11
LAR,2019-12-08,308,Sun,13,14,,SEA,W 28-12,308,1,LAR_SEA_2019-12-08
IND,2019-11-17,308,Sun,10,11,,JAX,W 33-13,308,1,IND_JAX_2019-11-17
KAN,2019-11-03,308,Sun,9,9,,MIN,W 26-23,308,0,KAN_MIN_2019-11-03
NWE,2019-09-08,308,Sun,1,1,,PIT,W 33-3,308,1,NWE_PIT_2019-09-08
NOR,2018-11-29,308,Thu,12,13,@,DAL,L 10-13,308,2,NOR_DAL_2018-11-29
PIT,2018-11-25,308,Sun,11,12,@,DEN,L 17-24,308,0,PIT_DEN_2018-11-25
MIN,2018-11-18,308,Sun,10,11,@,CHI,L 20-25,308,3,MIN_CHI_2018-11-18
TEN,2017-11-12,308,Sun,9,10,,CIN,W 24-20,308,2,TEN_CIN_2017-11-12
GNB,2017-09-28,308,Thu,4,4,,CHI,W 35-14,308,4,GNB_CHI_2017-09-28
DET,2017-09-10,308,Sun,1,1,,ARI,W 35-23,308,4,DET_ARI_2017-09-10
PIT,2023-01-08,307,Sun,17,18,,CLE,W 28-14,307,2,PIT_CLE_2023-01-08
KAN,2023-01-01,307,Sun,16,17,,DEN,W 27-24,307,2,KAN_DEN_2023-01-01
DEN,2022-11-13,307,Sun,9,10,@,TEN,L 10-17,307,1,DEN_TEN_2022-11-13
NWE,2022-09-11,307,Sun,1,1,@,MIA,L 7-20,307,0,NWE_MIA_2022-09-11
TEN,2021-10-31,307,Sun,8,8,@,IND,W 34-31 (OT),307,3,TEN_IND_2021-10-31
NYG,2021-01-03,307,Sun,16,17,,DAL,W 23-19,307,1,NYG_DAL_2021-01-03
GNB,2020-09-20,307,Sun,2,2,,DET,W 42-21,307,1,GNB_DET_2020-09-20
BAL,2019-11-10,307,Sun,9,10,@,CIN,W 49-13,307,3,BAL_CIN_2019-11-10
KAN,2019-09-15,307,Sun,2,2,@,OAK,W 28-10,307,2,KAN_OAK_2019-09-15
KAN,2017-12-16,307,Sat,14,15,,LAC,W 30-13,307,4,KAN_LAC_2017-12-16
PHI,2017-12-10,307,Sun,13,14,@,LAR,W 43-35,307,2,PHI_LAR_2017-12-10
PIT,2017-11-26,307,Sun,11,12,,GNB,W 31-28,307,0,PIT_GNB_2017-11-26
NYJ,2017-11-02,307,Thu,9,9,,BUF,W 34-21,307,3,NYJ_BUF_2017-11-02
NOR,2017-10-29,307,Sun,7,8,,CHI,W 20-12,307,1,NOR_CHI_2017-10-29
WAS,2017-10-29,307,Sun,7,8,,DAL,L 19-33,307,1,WAS_DAL_2017-10-29
PHI,2017-10-08,307,Sun,5,5,,ARI,W 34-7,307,1,PHI_ARI_2017-10-08
PIT,2022-12-04,306,Sun,12,13,@,ATL,W 19-16,306,1,PIT_ATL_2022-12-04
DEN,2022-10-06,306,Thu,5,5,,IND,L 9-12 (OT),306,2,DEN_IND_2022-10-06
