Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
CHI,2018-09-30,483,Sun,4,4,,TAM,W 48-10,483,58,8.33,60,5.18,0,28:06,2:57,CHI_TAM_2018-09-30
MIN,2023-01-08,482,Sun,17,18,@,CHI,W 29-13,482,71,6.79,50,5.18,2,36:36,2:56,MIN_CHI_2023-01-08
CHI,2017-12-10,482,Sun,13,14,@,CIN,W 33-7,482,72,6.69,53,4.42,0,38:09,3:10,CHI_CIN_2017-12-10
NOR,2017-11-12,482,Sun,9,10,@,BUF,W 47-10,482,73,6.60,45,4.40,1,41:23,2:57,NOR_BUF_2017-11-12
DET,2017-10-29,482,Sun,7,8,,PIT,L 15-20,482,69,6.99,60,6.53,1,31:37,3:02,DET_PIT_2017-10-29
MIN,2022-11-13,481,Sun,9,10,@,BUF,W 33-30 (OT),481,79,6.09,72,6.75,2,35:02,3:46,MIN_BUF_2022-11-13
GNB,2022-01-02,481,Sun,16,17,,MIN,W 37-10,481,74,6.50,52,3.96,0,38:33,3:04,GNB_MIN_2022-01-02
BUF,2021-09-26,481,Sun,3,3,,WAS,W 43-21,481,77,6.25,50,5.80,0,35:37,3:06,BUF_WAS_2021-09-26
BAL,2021-09-19,481,Sun,2,2,,KAN,W 36-35,481,68,7.07,49,8.27,2,35:59,3:02,BAL_KAN_2021-09-19
BAL,2019-12-22,481,Sun,15,16,@,CLE,W 31-15,481,71,6.77,53,4.55,1,34:19,3:05,BAL_CLE_2019-12-22
GNB,2019-10-20,481,Sun,7,7,,OAK,W 42-24,481,55,8.75,62,7.81,0,30:24,2:59,GNB_OAK_2019-10-20
PIT,2018-10-14,481,Sun,6,6,@,CIN,W 28-21,481,67,7.18,58,4.74,0,34:56,3:08,PIT_CIN_2018-10-14
JAX,2020-09-20,480,Sun,2,2,@,TEN,L 30-33,480,74,6.49,59,6.00,2,33:22,2:59,JAX_TEN_2020-09-20
BAL,2019-11-25,480,Mon,11,12,@,LAR,W 45-6,480,74,6.49,48,4.60,0,39:56,2:54,BAL_LAR_2019-11-25
