Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
NYJ,2022-12-22,39,Thu,15,16,,JAX,L 3-19,39,147,3.8,1,2022,2022_16_NYJ_JAX
NOR,2022-12-18,39,Sun,14,15,,ATL,W 21-18,39,231,5.9,2,2022,2022_15_NOR_ATL
NYG,2022-11-24,39,Thu,11,12,@,DAL,L 20-28,39,169,4.3,2,2022,2022_12_NYG_DAL
DAL,2022-11-13,39,Sun,9,10,@,GNB,L 28-31 (OT),39,207,5.3,1,2022,2022_10_DAL_GNB
CAR,2022-11-06,39,Sun,9,9,@,CIN,L 21-42,39,241,6.2,5,2022,2022_09_CAR_CIN
JAX,2022-10-23,39,Sun,7,7,,NYG,L 17-23,39,236,6.1,1,2022,2022_07_JAX_NYG
DAL,2022-10-16,39,Sun,6,6,@,PHI,L 17-26,39,136,3.5,1,2022,2022_06_DAL_PHI
CAR,2022-09-11,39,Sun,1,1,,CLE,L 24-26,39,217,5.6,1,2022,2022_01_CAR_CLE
DET,2022-09-11,39,Sun,1,1,,PHI,L 35-38,39,216,5.5,4,2022,2022_01_DET_PHI
NWE,2021-12-18,39,Sat,14,15,@,IND,L 17-27,39,226,5.8,1,2021,2021_15_NWE_IND
KAN,2021-12-16,39,Thu,14,15,@,LAC,W 34-28 (OT),39,192,4.9,2,2021,2021_15_KAN_LAC
DET,2021-12-12,39,Sun,13,14,@,DEN,L 10-38,39,184,4.7,3,2021,2021_14_DET_DEN
CAR,2021-11-28,39,Sun,12,12,@,MIA,L 10-33,39,111,2.8,2,2021,2021_12_CAR_MIA
MIN,2021-11-28,39,Sun,11,12,@,SFO,L 26-34,39,208,5.3,3,2021,2021_12_MIN_SFO
NWE,2021-11-28,39,Sun,12,12,,TEN,W 36-13,39,270,6.9,1,2021,2021_12_NWE_TEN
DEN,2021-11-14,39,Sun,10,10,,PHI,L 13-30,39,216,5.5,0,2021,2021_10_DEN_PHI
PIT,2021-11-14,39,Sun,9,10,,DET,T 16-16 (OT),39,229,5.9,2,2021,2021_10_PIT_DET
CAR,2021-11-07,39,Sun,9,9,,NWE,L 6-24,39,151,3.9,1,2021,2021_09_CAR_NWE
LAC,2021-11-07,39,Sun,8,9,@,PHI,W 27-24,39,176,4.5,2,2021,2021_09_LAC_PHI
SFO,2021-11-07,39,Sun,8,9,,ARI,L 17-31,39,163,4.2,3,2021,2021_09_SFO_ARI
LAC,2021-10-31,39,Sun,7,8,,NWE,L 24-27,39,142,3.6,1,2021,2021_08_LAC_NWE
NYG,2021-10-10,39,Sun,5,5,@,DAL,L 20-44,39,201,5.2,1,2021,2021_05_NYG_DAL
NYG,2021-10-03,39,Sun,4,4,@,NOR,W 27-21 (OT),39,170,4.4,2,2021,2021_04_NYG_NOR
DET,2021-10-03,39,Sun,4,4,@,CHI,L 14-24,39,188,4.8,3,2021,2021_04_DET_CHI
GNB,2021-09-12,39,Sun,1,1,@,NOR,L 3-38,39,171,4.4,0,2021,2021_01_GNB_NOR
CHI,2020-11-29,39,Sun,11,12,@,GNB,L 25-41,39,182,4.7,1,2020,2020_12_CHI_GNB
BAL,2020-11-15,39,Sun,9,10,@,NWE,L 17-23,39,173,4.4,1,2020,2020_10_BAL_NWE
DET,2020-11-01,39,Sun,7,8,,IND,L 21-41,39,119,3.1,2,2020,2020_08_DET_IND
DAL,2020-10-25,39,Sun,7,7,@,WAS,L 3-25,39,208,5.3,1,2020,2020_07_DAL_WAS
JAX,2020-10-18,39,Sun,6,6,,DET,L 16-34,39,180,4.6,3,2020,2020_06_JAX_DET
PHI,2020-09-20,39,Sun,2,2,,LAR,L 19-37,39,191,4.9,2,2020,2020_02_PHI_LAR
CIN,2020-09-13,39,Sun,1,1,,LAC,L 13-16,39,155,4.0,1,2020,2020_01_CIN_LAC
HOU,2019-12-29,39,Sun,16,17,,TEN,L 14-35,39,245,6.3,3,2019,2019_17_HOU_TEN
CLE,2019-12-29,39,Sun,16,17,@,CIN,L 23-33,39,179,4.6,3,2019,2019_17_CLE_CIN
DET,2019-12-08,39,Sun,13,14,@,MIN,L 7-20,39,120,3.1,1,2019,2019_14_DET_MIN
HOU,2019-11-21,39,Thu,11,12,,IND,W 20-17,39,175,4.5,2,2019,2019_12_HOU_IND
WAS,2019-11-03,39,Sun,9,9,@,BUF,L 9-24,39,122,3.1,2,2019,2019_09_WAS_BUF
WAS,2019-10-20,39,Sun,7,7,,SFO,L 0-9,39,137,3.5,0,2019,2019_07_WAS_SFO
CHI,2019-10-06,39,Sun,5,5,@,OAK,L 21-24,39,169,4.3,3,2019,2019_05_CHI_OAK
DAL,2018-12-16,39,Sun,14,15,@,IND,L 0-23,39,178,4.6,2,2018,2018_15_DAL_IND
CLE,2018-12-02,39,Sun,12,13,@,HOU,L 13-29,39,187,4.8,0,2018,2018_13_CLE_HOU
MIN,2018-12-02,39,Sun,12,13,@,NWE,L 10-24,39,160,4.1,2,2018,2018_13_MIN_NWE
BUF,2018-11-25,39,Sun,11,12,,JAX,W 24-21,39,226,5.8,2,2018,2018_12_BUF_JAX
