Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
CIN,2021-10-31,32,Sun,8,8,@,NYJ,L 31-34,32,6,23,3,11,6,54.5,0,0,,2021,2021_08_CIN_NYJ
NYJ,2021-10-24,32,Sun,6,7,@,NWE,L 13-54,32,12,17,3,12,7,58.3,1,1,100.0,2021,2021_07_NYJ_NWE
NWE,2021-10-17,32,Sun,6,6,,DAL,L 29-35 (OT),32,5,25,2,13,3,23.1,4,2,50.0,2021,2021_06_NWE_DAL
BUF,2019-11-28,32,Thu,12,13,@,DAL,W 26-15,32,5,22,5,13,7,53.8,3,1,33.3,2019,2019_13_BUF_DAL
DET,2019-10-20,32,Sun,6,7,,MIN,L 30-42,32,10,19,3,10,6,60.0,0,0,,2019,2019_07_DET_MIN
GNB,2019-10-06,32,Sun,5,5,@,DAL,W 34-24,32,9,19,4,8,2,25.0,0,0,,2019,2019_05_GNB_DAL
PHI,2018-12-09,32,Sun,13,14,@,DAL,L 23-29 (OT),32,6,23,3,18,9,50.0,1,1,100.0,2018,2018_14_PHI_DAL
ATL,2018-09-23,32,Sun,3,3,,NOR,L 37-43 (OT),32,11,19,2,14,7,50.0,1,1,100.0,2018,2018_03_ATL_NOR
SFO,2017-12-24,32,Sun,15,16,,JAX,W 44-33,32,7,20,5,13,5,38.5,2,2,100.0,2017,2017_16_SFO_JAX
BUF,2017-11-12,32,Sun,9,10,,NOR,L 10-47,32,20,9,3,12,6,50.0,2,2,100.0,2017,2017_10_BUF_NOR
KAN,2017-10-19,32,Thu,7,7,@,OAK,L 30-31,32,3,23,6,13,6,46.2,1,1,100.0,2017,2017_07_KAN_OAK
JAX,2022-12-04,31,Sun,12,13,@,DET,L 14-40,31,8,21,2,12,8,66.7,0,0,,2022,2022_13_JAX_DET
MIA,2022-09-25,31,Sun,3,3,,BUF,W 21-19,31,9,21,1,18,11,61.1,3,2,66.7,2022,2022_03_MIA_BUF
PHI,2021-10-03,31,Sun,4,4,,KAN,L 30-42,31,12,16,3,10,9,90.0,0,0,,2021,2021_04_PHI_KAN
KAN,2021-09-19,31,Sun,2,2,@,BAL,L 35-36,31,18,11,2,11,6,54.5,1,1,100.0,2021,2021_02_KAN_BAL
SFO,2021-09-12,31,Sun,1,1,@,DET,W 41-33,31,8,19,4,15,4,26.7,5,2,40.0,2021,2021_01_SFO_DET
DET,2021-01-03,31,Sun,16,17,,MIN,L 35-37,31,8,20,3,13,4,30.8,2,2,100.0,2020,2020_17_DET_MIN
NWE,2020-12-28,31,Mon,15,16,,BUF,L 9-38,31,11,19,1,12,5,41.7,3,3,100.0,2020,2020_16_NWE_BUF
SFO,2020-12-07,31,Mon,12,13,,BUF,L 24-34,31,6,22,3,9,4,44.4,3,2,66.7,2020,2020_13_SFO_BUF
MIA,2020-11-01,31,Sun,7,8,,LAR,W 28-17,31,11,19,1,17,7,41.2,1,0,0.0,2020,2020_08_MIA_LAR
CLE,2020-10-25,31,Sun,7,7,@,CIN,W 37-34,31,5,24,2,9,6,66.7,1,1,100.0,2020,2020_07_CLE_CIN
SEA,2020-10-25,31,Sun,6,7,@,ARI,L 34-37 (OT),31,11,17,3,12,5,41.7,2,1,50.0,2020,2020_07_SEA_ARI
HOU,2020-10-18,31,Sun,6,6,@,TEN,L 36-42 (OT),31,9,20,2,10,6,60.0,0,0,,2020,2020_06_HOU_TEN
SEA,2020-10-11,31,Sun,5,5,,MIN,W 27-26,31,12,17,2,14,6,42.9,3,2,66.7,2020,2020_05_SEA_MIN
NYJ,2020-09-13,31,Sun,1,1,@,BUF,L 17-27,31,8,17,6,14,7,50.0,1,1,100.0,2020,2020_01_NYJ_BUF
MIN,2020-09-13,31,Sun,1,1,,GNB,L 34-43,31,11,17,3,11,6,54.5,2,1,50.0,2020,2020_01_MIN_GNB
CLE,2019-12-22,31,Sun,15,16,,BAL,L 15-31,31,16,13,2,11,7,63.6,1,0,0.0,2019,2019_16_CLE_BAL
LAR,2019-11-25,31,Mon,11,12,,BAL,L 6-45,31,17,13,1,15,9,60.0,3,3,100.0,2019,2019_12_LAR_BAL
TAM,2019-11-03,31,Sun,8,9,@,SEA,L 34-40 (OT),31,4,23,4,8,2,25.0,0,0,,2019,2019_09_TAM_SEA
ARI,2019-10-13,31,Sun,6,6,,ATL,W 34-33,31,7,20,4,11,6,54.5,0,0,,2019,2019_06_ARI_ATL
ATL,2019-10-06,31,Sun,5,5,@,HOU,L 32-53,31,11,18,2,13,10,76.9,0,0,,2019,2019_05_ATL_HOU
PHI,2019-09-26,31,Thu,4,4,@,GNB,W 34-27,31,4,19,8,11,6,54.5,1,0,0.0,2019,2019_04_PHI_GNB
MIA,2019-09-08,31,Sun,1,1,,BAL,L 10-59,31,10,17,4,11,7,63.6,2,2,100.0,2019,2019_01_MIA_BAL
KAN,2018-12-23,31,Sun,15,16,@,SEA,L 31-38,31,11,15,5,14,7,50.0,0,0,,2018,2018_16_KAN_SEA
NYG,2018-11-18,31,Sun,10,11,,TAM,W 38-35,31,10,18,3,9,6,66.7,2,1,50.0,2018,2018_11_NYG_TAM
LAR,2018-11-04,31,Sun,9,9,@,NOR,L 35-45,31,10,19,2,12,7,58.3,2,2,100.0,2018,2018_09_LAR_NOR
