Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
SEA,2020-09-27,38,Sun,3,3,,DAL,W 38-31,38,31,7,69,2020,2020_03_SEA_DAL
SEA,2020-09-13,38,Sun,1,1,@,ATL,W 38-25,38,25,13,63,2020,2020_01_SEA_ATL
BAL,2020-09-13,38,Sun,1,1,,CLE,W 38-6,38,6,32,44,2020,2020_01_BAL_CLE
JAX,2019-12-29,38,Sun,16,17,,IND,W 38-20,38,20,18,58,2019,2019_17_JAX_IND
IND,2019-12-22,38,Sun,15,16,,CAR,W 38-6,38,6,32,44,2019,2019_16_IND_CAR
MIA,2019-12-22,38,Sun,15,16,,CIN,W 38-35 (OT),38,35,3,73,2019,2019_16_MIA_CIN
NOR,2019-12-22,38,Sun,15,16,@,TEN,W 38-28,38,28,10,66,2019,2019_16_NOR_TEN
ARI,2019-12-15,38,Sun,14,15,,CLE,W 38-24,38,24,14,62,2019,2019_15_ARI_CLE
TAM,2019-12-15,38,Sun,14,15,@,DET,W 38-17,38,17,21,55,2019,2019_15_TAM_DET
TAM,2019-12-08,38,Sun,13,14,,IND,W 38-35,38,35,3,73,2019,2019_14_TAM_IND
DEN,2019-12-08,38,Sun,13,14,@,HOU,W 38-24,38,24,14,62,2019,2019_14_DEN_HOU
MIN,2019-10-13,38,Sun,6,6,,PHI,W 38-20,38,20,18,58,2019,2019_06_MIN_PHI
CAR,2019-09-22,38,Sun,3,3,@,ARI,W 38-20,38,20,18,58,2019,2019_03_CAR_ARI
NWE,2018-12-30,38,Sun,16,17,,NYJ,W 38-3,38,3,35,41,2018,2018_17_NWE_NYJ
NYJ,2018-12-23,38,Sun,15,16,,GNB,L 38-44 (OT),38,44,-6,82,2018,2018_16_NYJ_GNB
SEA,2018-12-23,38,Sun,15,16,,KAN,W 38-31,38,31,7,69,2018,2018_16_SEA_KAN
IND,2018-11-18,38,Sun,10,11,,TEN,W 38-10,38,10,28,48,2018,2018_11_IND_TEN
NYG,2018-11-18,38,Sun,10,11,,TAM,W 38-35,38,35,3,73,2018,2018_11_NYG_TAM
