Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
HOU,2018-09-16,11,Sun,2,2,@,TEN,L 17-20,11,88,8,70,19,158,2018,2018_02_HOU_TEN
OAK,2018-09-10,11,Mon,1,1,,LAR,L 13-33,11,155,8,70,19,225,2018,2018_01_OAK_LAR
CLE,2018-09-09,11,Sun,1,1,,PIT,T 21-21 (OT),11,87,12,116,23,203,2018,2018_01_CLE_PIT
JAX,2018-09-09,11,Sun,1,1,@,NYG,W 20-15,11,119,6,43,17,162,2018,2018_01_JAX_NYG
PHI,2018-09-06,11,Thu,1,1,,ATL,W 18-12,11,101,15,135,26,236,2018,2018_01_PHI_ATL
MIA,2017-12-24,11,Sun,15,16,@,KAN,L 13-29,11,75,5,40,16,115,2017,2017_16_MIA_KAN
SEA,2017-12-24,11,Sun,15,16,@,DAL,W 21-12,11,142,7,75,18,217,2017,2017_16_SEA_DAL
MIN,2017-12-17,11,Sun,14,15,,CIN,W 34-7,11,93,5,44,16,137,2017,2017_15_MIN_CIN
SFO,2017-12-10,11,Sun,13,14,@,HOU,W 26-16,11,87,8,81,19,168,2017,2017_14_SFO_HOU
NOR,2017-12-07,11,Thu,13,14,@,ATL,L 17-20,11,87,4,35,15,122,2017,2017_14_NOR_ATL
HOU,2017-12-03,11,Sun,12,13,@,TEN,L 13-24,11,85,7,63,18,148,2017,2017_13_HOU_TEN
PHI,2017-11-26,11,Sun,11,12,,CHI,W 31-3,11,70,9,56,20,126,2017,2017_12_PHI_CHI
MIA,2017-11-05,11,Sun,8,9,,OAK,L 24-27,11,107,10,105,21,212,2017,2017_09_MIA_OAK
BUF,2017-11-02,11,Thu,8,9,@,NYJ,L 21-34,11,99,10,66,21,165,2017,2017_09_BUF_NYJ
BUF,2017-10-29,11,Sun,7,8,,OAK,W 34-14,11,95,6,50,17,145,2017,2017_08_BUF_OAK
CLE,2017-10-15,11,Sun,6,6,@,HOU,L 17-33,11,72,4,44,15,116,2017,2017_06_CLE_HOU
LAC,2017-10-08,11,Sun,5,5,@,NYG,W 27-22,11,87,10,67,21,154,2017,2017_05_LAC_NYG
TEN,2017-10-08,11,Sun,5,5,@,MIA,L 10-16,11,77,5,23,16,100,2017,2017_05_TEN_MIA
CAR,2017-10-08,11,Sun,5,5,@,DET,W 27-24,11,100,1,10,12,110,2017,2017_05_CAR_DET
MIA,2017-10-01,11,Sun,3,4,,NOR,L 0-20,11,90,8,71,19,161,2017,2017_04_MIA_NOR
