Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
HOU,2022-09-11,32,Sun,1,1,,IND,T 20-20 (OT),32,50,64.0,340,1,2,12,1,82.1,2022,2022_01_HOU_IND
LAR,2021-12-13,32,Mon,13,14,@,ARI,W 30-23,32,49,65.3,344,0,4,39,2,68.8,2021,2021_14_LAR_ARI
LVR,2021-11-25,32,Thu,11,12,@,DAL,W 36-33 (OT),32,47,68.1,373,2,1,2,0,106.1,2021,2021_12_LVR_DAL
NYG,2021-11-22,32,Mon,10,11,@,TAM,L 10-30,32,48,66.7,308,2,1,10,1,89.6,2021,2021_11_NYG_TAM
PHI,2021-11-07,32,Sun,9,9,,LAC,L 24-27,32,38,84.2,356,2,0,0,0,123.2,2021,2021_09_PHI_LAC
SEA,2021-10-31,32,Sun,8,8,,JAX,W 31-7,32,54,59.3,227,1,1,11,1,67.4,2021,2021_08_SEA_JAX
ATL,2021-10-24,32,Sun,6,7,@,MIA,W 30-28,32,40,80.0,281,4,1,10,2,108.4,2021,2021_07_ATL_MIA
WAS,2021-10-17,32,Sun,6,6,,KAN,L 13-31,32,47,68.1,390,2,3,7,2,89.8,2021,2021_06_WAS_KAN
KAN,2021-10-03,32,Sun,4,4,@,PHI,W 42-30,32,48,66.7,358,2,3,29,0,102.6,2021,2021_04_KAN_PHI
LVR,2021-09-26,32,Sun,3,3,,MIA,W 31-28 (OT),32,49,65.3,197,0,2,18,0,73.3,2021,2021_03_LVR_MIA
DAL,2021-09-09,32,Thu,1,1,@,TAM,L 29-31,32,50,64.0,379,4,0,0,2,97.0,2021,2021_01_DAL_TAM
IND,2020-12-13,32,Sun,13,14,@,LVR,W 44-27,32,46,69.6,345,2,0,0,2,87.7,2020,2020_14_IND_LVR
SFO,2020-12-07,32,Mon,12,13,,BUF,L 24-34,32,40,80.0,368,4,1,7,0,138.3,2020,2020_13_SFO_BUF
JAX,2020-11-22,32,Sun,10,11,,PIT,L 3-27,32,46,69.6,267,2,0,0,1,89.7,2020,2020_11_JAX_PIT
TEN,2020-10-25,32,Sun,6,7,,PIT,L 24-27,32,49,65.3,268,2,0,0,3,67.4,2020,2020_07_TEN_PIT
BUF,2020-10-04,32,Sun,4,4,@,LVR,W 30-23,32,44,72.7,297,2,2,14,0,106.0,2020,2020_04_BUF_LVR
PHI,2020-10-04,32,Sun,4,4,@,SFO,W 25-20,32,45,71.1,301,1,5,37,2,78.1,2020,2020_04_PHI_SFO
BAL,2020-10-04,32,Sun,4,4,@,WAS,W 31-17,32,45,71.1,274,0,3,40,0,86.7,2020,2020_04_BAL_WAS
MIN,2020-09-13,32,Sun,1,1,,GNB,L 34-43,32,44,72.7,364,4,0,0,0,127.5,2020,2020_01_MIN_GNB
JAX,2019-12-22,32,Sun,15,16,@,ATL,L 12-24,32,45,71.1,383,1,1,1,2,85.7,2019,2019_16_JAX_ATL
BUF,2019-11-28,32,Thu,12,13,@,DAL,W 26-15,32,49,65.3,323,2,4,32,1,89.1,2019,2019_13_BUF_DAL
TEN,2019-11-24,32,Sun,11,12,,JAX,W 42-20,32,48,66.7,252,0,3,20,0,79.5,2019,2019_12_TEN_JAX
BUF,2019-11-17,32,Sun,10,11,@,MIA,W 37-20,32,45,71.1,280,0,7,43,0,87.3,2019,2019_11_BUF_MIA
LAR,2019-10-27,32,Sun,8,8,,CIN,W 24-10,32,52,61.5,297,1,5,32,0,83.6,2019,2019_08_LAR_CIN
HOU,2019-10-06,32,Sun,5,5,,ATL,W 53-32,32,46,69.6,316,3,2,14,1,101.4,2019,2019_05_HOU_ATL
